company,director,genre,name,rating,star,writer
Hawn / Sylbert Movie Company,Garry Marshall,Comedy,Overboard,PG,Goldie Hawn,Leslie Dixon
Warner Bros.,Joe Dante,Action,Innerspace,PG,Dennis Quaid,Chip Proser
Metro-Goldwyn-Mayer (MGM),Norman Jewison,Comedy,Moonstruck,PG,Cher,John Patrick Shanley
Paramount Pictures,Tony Scott,Action,Beverly Hills Cop II,R,Eddie Murphy,Danilo Bach
Amblin Entertainment,William Dear,Comedy,Harry and the Hendersons,PG,John Lithgow,William Dear
Recorded Picture Company (RPC),Bernardo Bertolucci,Biography,The Last Emperor,PG-13,John Lone,Mark Peploe
Touchstone Pictures,Barry Levinson,Biography,"Good Morning, Vietnam",R,Robin Williams,Mitch Markowitz
Merchant Ivory Productions,James Ivory,Drama,Maurice,R,James Wilby,E.M. Forster
Interscope Communications,Leonard Nimoy,Comedy,3 Men and a Baby,PG,Tom Selleck,Coline Serreau
Alive Films,John Carpenter,Horror,Prince of Darkness,R,Donald Pleasence,John Carpenter
Columbia Pictures Corporation,Luis Valdez,Biography,La Bamba,PG-13,Lou Diamond Phillips,Luis Valdez
F/M,Kathryn Bigelow,Action,Near Dark,R,Adrian Pasdar,Kathryn Bigelow
Road Movies Filmproduktion,Wim Wenders,Drama,Wings of Desire,PG-13,Bruno Ganz,Wim Wenders
Twentieth Century Fox Film Corporation,Marek Kanievska,Crime,Less Than Zero,R,Andrew McCarthy,Bret Easton Ellis
Orion Pictures,Roger Donaldson,Action,No Way Out,R,Kevin Costner,Kenneth Fearing
Universal Pictures,Matthew Robbins,Comedy,*batteries not included,PG,Hume Cronyn,Mick Garris
United Artists,Charles Shyer,Comedy,Baby Boom,PG,Diane Keaton,Nancy Meyers
Cineplex-Odeon Films,Bruce Robinson,Comedy,Withnail & I,R,Richard E. Grant,Bruce Robinson
Fries Entertainment,Jeffrey Bloom,Drama,Flowers in the Attic,PG-13,Louise Fletcher,Virginia C. Andrews
Amercent Films,James L. Brooks,Comedy,Broadcast News,R,William Hurt,James L. Brooks
New Century Entertainment Corporation,Tibor Takács,Fantasy,Túnel al infierno,PG-13,Stephen Dorff,Michael Nankin
Cannon Films,Sidney J. Furie,Action,Superman IV: The Quest for Peace,PG,Christopher Reeve,Joe Shuster
Laurel Entertainment Inc.,Michael Gornick,Comedy,Creepshow 2,R,George Kennedy,Stephen King
Atlantic Entertainment Group,Christopher Leitch,Comedy,Teen Wolf Too,PG,Jason Bateman,Jeph Loeb
Columbia Pictures Industries,Fred Schepisi,Comedy,Roxanne,PG,Steve Martin,Edmond Rostand
